"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-30 16:05:32","Procrate","geo","1","9858","358.0","2000.0","710.59","679.5","1.47","325.0","1960.0","656.46","634.0","1.58"
"2025-12-30 18:07:25","Procrate","lg","1","2662","30.0","2000.0","288.22","198.0","5.05","6.0","1824.0","238.96","162.0","6.17"
"2025-12-30 18:07:25","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-30 18:07:25","Procrate","mx","1","5172","23.0","2000.0","163.77","77.0","12.99","2.0","1681.0","106.4","21.0","47.62"
"2025-12-30 18:07:26","Procrate","wb","1","65177","15.0","1996.0","94.89","40.0","25.0","4.0","1852.0","48.33","21.0","47.62"
"2025-12-30 18:07:26","Procrate","geo","1","9889","358.0","2000.0","710.47","679.0","1.47","325.0","1960.0","656.35","634.0","1.58"
"2025-12-30 18:15:20","Procrate","lg","1","2662","30.0","2000.0","288.22","198.0","5.05","6.0","1824.0","238.96","162.0","6.17"
"2025-12-30 18:15:21","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
"2025-12-30 18:15:21","Procrate","mx","1","5172","23.0","2000.0","163.77","77.0","12.99","2.0","1681.0","106.4","21.0","47.62"
"2025-12-30 18:15:22","Procrate","wb","1","65181","15.0","1996.0","94.89","40.0","25.0","4.0","1852.0","48.33","21.0","47.62"
"2025-12-30 18:15:22","Procrate","geo","1","9890","358.0","2000.0","710.47","679.0","1.47","325.0","1960.0","656.35","634.0","1.58"
"2025-12-30 21:06:20","Procrate","lg","1","2669","30.0","2000.0","287.97","198.0","5.05","6.0","1824.0","238.75","162.0","6.17"
"2025-12-30 21:06:20","Procrate","mb","1","509","33.0","1644.0","177.09","143.0","6.99","6.0","1415.0","149.7","119.0","8.4"
